公司名稱,職缺內容,所需技能,職缺網址,擅長工具
帆宣系統科技股份有限公司,軟體工程師-新竹(M6-4582),"1.巨量資料系統分析開發
2.客製化網路平台開發
3.具系統分析與系統設計能力
4.具備C# python R相關系統開發經驗尤佳",www.104.com.tw/job/6qfxb?jobsource=2018indexpoc,"['ASP.NET', 'C#', 'Python']"
湧德電子股份有限公司,&lt;儲備幹部&gt; 資料分析師,"1. 應用數學統計/ 資料探勘/ 機械學習/ 圖像化資料呈現等技術於巨量資料分析與探勘。
2. 協助高階主管規劃生產、行銷計劃制度和中長期策略規劃及年度營運方針落實。
3. 協助專案計畫書撰寫、提案簡報製作、跨單位資訊整合等。

※※工作願景與發展:
1. 以資料分析師為目標
2. 對商業模式深入解析

※※工作成就與樂趣:
1. 挑戰透過資料分析帶來非預期效益，達落實於應用面成就。
2. 工作中兼顧學習成長，團隊合作共同切磋提升實力。
3. 自主化管理，提升工作效率。",www.104.com.tw/job/6yanp?jobsource=2018indexpoc,['Python']
台灣大哥大股份有限公司,I177 資料分析資深工程師,"1. 負責新創服務分析功能開發與維護，如:行動廣告/影音/音樂等產品
2. 負責大數據平台程式開發與應用功能維護，如:Hadoop、Elasticsearch Server
【薪資待遇】：月薪31,000元-53,000元，依績效另有豐厚年終獎金與員工紅利。",www.104.com.tw/job/66q7y?jobsource=2018indexpoc,['Python']
資通電腦股份有限公司,系統開發程式設計師(R4),"開發與維護『金融演算法系統後端平台』
-Python程式開發與除錯
-部署金融演算法到Linux Server
-資料庫表格設計
-Linux Server架設
",www.104.com.tw/job/6vhj8?jobsource=2018indexpoc,"['Linux', 'Java', 'Python']"
聯詠科技股份有限公司,AI語音系統軟體開發工程師 (SoC_LTD-SA),"1.	熟悉Linux系統, 具C/C++/Python程式語言設計經驗 
2.	熟悉Machine Learning以及Deep Learning framework, 具AI需求分析與應用開發經驗 
3.	具Machine Learning",www.104.com.tw/job/6e9et?jobsource=2018indexpoc,"['C', 'C++', 'Python']"
緯創資通股份有限公司,軟體測試工程師 _ 汐止 _ 00000,"1. 測試計畫與測試項目的安排規劃與撰寫
2. 對於NB軟體進行整合測試/功能測試 
3. 相關產品測試環境建置 
4. 問題追蹤處理，測試報告撰寫
5. 與相關合作單位溝通及協調
6. 其他交辦事項",www.104.com.tw/job/6op1d?jobsource=2018indexpoc,['Python']
晶元光電股份有限公司(晶電),系統開發工程師(竹科),"1.生產數據預測、分析Model設計
2.投入與產出模擬Model設計、訂單與產出模擬Model設計
3.專案需求訪談、開發設計、系統分析並製作系統需求規格書文件
",www.104.com.tw/job/66fll?jobsource=2018indexpoc,['Python']
邁克兄弟科技股份有限公司,產品應用工程師,"1. 擬定產品上市時程與評估測試 。
2. 根據產品規格撰寫測試案例 。
3. 驗證規格、功能性測試、整合性測試、相容性測試，並確保產品可用性。 
4. 測試程式語言：ArduinoIDE、Python、OpenCV、C#。
5. 問題回",www.104.com.tw/job/6xj1c?jobsource=2018indexpoc,"['C#', 'Python']"
神基科技股份有限公司,【2020暑期實習計畫】-AI 專案實習生,"2020神基科技暑期實習招募熱烈進行中，實習期間將配予每位實習生專屬輔導員(Mentor)帶領您學習並投入專案工作，是個提供您貢獻所學，獲得寶貴實務經驗的成長機會，誠摯歡迎您加入我們的實習計劃，與我們一起開創成為改變世界的力量。

【實習條件】
＊暑期大學升大四至碩士班學生
＊實習時間為2020/7/6~2020/8/31全程實習
＊週一到週五，09:00~18:00，中午休息1小時

【工作內容】
1.協助整理車牌辨識系統所需要的訓練資料
2.協助標記車牌資料
3.協助整理全球車廠各式車型資料",www.104.com.tw/job/6y824?jobsource=2018indexpoc,['Python']
通寶半導體設計股份有限公司,嵌入式系統軟體工程師 (Embedded Software Engineer),"1. Embedded system programming in C, C++, and Python on Linux and RTOS
2. IC emulation / feature validation for ASIC",www.104.com.tw/job/5yu8m?jobsource=jolist_c_relevance,"['C', 'C++', 'Python']"
